,customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code,group
0,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,,,ACTIVE,NONE,24.0,64f17e6a330a85798e4998f62d0930d14db8db1c054af6c9090f7dd3e38380dc,young_adult
1,0003abe64294e66a6310c3436fa9e5b754cc5603deef4f26fc8ab8d043af9358,,,ACTIVE,NONE,51.0,06ef7695ef26ebd1fe08304240e9e32714a1ee85c6c348cc4bf685f09a189356,old
2,0004068f54dbe1c7054b23c615edc5f733a508ecc54930bf323209f20410898c,,,ACTIVE,NONE,51.0,ab51cce510775e684a08c084b07861a4dbc7e6e3be025ffe902573bc0435ace7,old
3,000ca60ca6d8de6d3b4689e2da829d69db5947bd89084cd3a0849f4ea57375fd,1.0,1.0,ACTIVE,Regularly,51.0,1114dab98e8ede6fb92cb115efe1d24772ae701d9ccebc59b87d9d7780c236f4,old
4,001521e8394eb81ba43ab5b84ae7e756d51ac813be212a96e8779e0e42c029c0,,,PRE-CREATE,NONE,41.0,18d8ec9e6947c37238bde943c560eb12beda4916798e8ee751b9340712e82177,mature
5,001597a203568914926b852124d1def6d8bfd56358b25b93e2e71c588615e56e,1.0,1.0,ACTIVE,Regularly,28.0,9ebf6c831aea1878ed72b157c967896f231410699b7428af3e591ae06d5427a7,adult
6,0016e4c6a51a886903cd20cf5bc56e84f40ccd35b8f45f9e74d251980e9c8bd5,1.0,1.0,ACTIVE,Regularly,56.0,1504fcbf108ffc62035712a8fdc8d2f92d1fa65b69fc7dc94ed6d9537b57a392,old
7,00401a367c5ac085cb9d4b77c56f3edcabf25153615db982fcc7991d182e10a9,1.0,1.0,ACTIVE,Regularly,28.0,3fc82ea96449cbb089311dc2999deda150afd8496337f2cf07a2e6432180ccbb,adult
8,00402f4463c8dc1b3ee54abfdea280e96cd87320449eca8953eb06769a5c20d4,1.0,1.0,ACTIVE,Regularly,21.0,5229fda9896b1c47cfc99f995d69bc7ef17623064a27a900a33860bfcc748845,young_adult
9,004115a4fedc5adc9ee1d88e7e8cc5f4e25a8770c46297286f35d0aeb83c15e4,1.0,1.0,ACTIVE,Regularly,37.0,976cfa2ade3923dde24367a518d6d6d54c387d1c2058f38070294137e25a43fa,mature
